#,Práctica,Aplicable a,Importancia,Dificultad de Deducción,Comentarios
Sección A,Inicio: Prácticas enfocadas en los primeros pasos para mejorar habilidades básicas y establecer fundamentos sólidos.,,,,
1,resolver gran cantidad de problemas fáciles e incrementar gradualmente la dificultad.,Iniciales,Extremadamente importante,Fácil de deducir,
2,"Si se conoce a alguien que tenga experiencia en programación competitiva, hacerle preguntas, pedir ayuda y si es posible clases de apoyo.",Iniciales,Extremadamente importante,Fácil de deducir,
3,Conseguir algún libro base y leerlo de principio a fin.,Iniciales,Poco importante,Moderadamente deducible,
4,"Para formar un equipo tomar en cuenta personas que: tengan buena relación, tengan buena comunicación, les divierta resolver problemas, les guste programar, compartan objetivos, compartan el nivel de compromiso, cuenten con habilidades complementarias, tengan experiencia y nivel competitivo similar.",Ambos,Extremadamente importante,Moderadamente deducible,
5,"Alcanzar un nivel adecuado de lectura de inglés para comprender correctamente enunciados y editoriales de problemas, mientras se amplía de manera constante el vocabulario.",Ambos,Extremadamente importante,Fácil de deducir,
6,"Practicar constantemente dactilografía para incrementar la velocidad de escritura de código, se considera aceptable poder escribir sin mirar el teclado con un mínimo de 50 palabras por minuto.",Ambos,Muy importante,Moderadamente deducible,
Sección B,Entrenamiento Individual: Prácticas diseñadas para mejorar habilidades personales a través del entrenamiento constante.,,,,
7,Mantener un ritmo constante de entrenamiento y evitar dejar de entrenar por largos periodos de tiempo.,Ambos,Extremadamente importante,Fácil de deducir,
8,"Fuera de competencia, antes de comenzar a escribir código, estimar cuánto tiempo tomará hacerlo, medir el tiempo real hasta obtener un envío aceptado, y luego comparar ambos para mejorar gradualmente la precisión en la estimación.",Avanzados,Importante,Moderadamente deducible,
9,"Fuera de competencia, reescribir varias veces el código de una solución difícil, hasta sentirse cómodo escribiendo un código similar sin dificultad.",Avanzados,Importante,Moderadamente deducible,
10,"Después de resolver un problema preguntarse qué se hizo bien, que se hizo mal, cómo se podría haber resuelto en menos tiempo y que se aprendió mientras se resolvió el problema.",Ambos,Poco importante,Moderadamente deducible,
11,Después de resolver un problema comparar la solución con la de otros competidores.,Avanzados,Poco importante,Moderadamente deducible,
12,"Si después de resolver un problema se ha desarrollado una técnica que se cree puede servir para otros problemas, documentar dicha técnica y compartirla.",Avanzados,Importante,Moderadamente deducible,
13,"Consumir incrementalmente la editorial de un problema, leer la primera oración de la explicación y luego pensar 5 minutos, continuar avanzando oración por oración, párrafo por párrafo, intentando deducir la solución por cuenta propia a partir de algún punto.",Avanzados,Importante,Moderadamente deducible,
14,"Si después de leer un par de veces la editorial de un problema aún no se consigue entender la solución, copiarla a mano en una hoja de papel y leer un par de veces más.",Ambos,Importante,Difícil de deducir,
15,"Si después de leer un par de veces la editorial de un problema aún no se consigue entender la solución, leer códigos aceptados disponibles de varios competidores.",Ambos,Importante,Difícil de deducir,
16,"Si después de intentar comprender la solución de un problema de múltiples maneras y tras varias horas de esfuerzo aún no se entiende, archivarlo e intentarlo en otra ocasión.",Iniciales,Nada importante,Difícil de deducir,
17,Leer códigos de algoritmos de distintas fuentes referenciales.,Avanzados,Muy importante,Moderadamente deducible,
18,"Para consolidar el dominio de una técnica o algoritmo, revisarlo en detalle, anotar los puntos importantes y enseñarlo a competidores de menor nivel o que no estén familiarizados con esa técnica o algoritmo.",Avanzados,Muy importante,Moderadamente deducible,
Sección C,"Entrenamiento en Equipo: Prácticas orientadas a la colaboración, comunicación y fortalecimiento de dinámicas de equipo.",,,,
19,Desarrollar amistad entre los integrantes del equipo.,Ambos,Extremadamente importante,Moderadamente deducible,
20,Desarrollar comunicación efectiva entre los integrantes del equipo.,Ambos,Extremadamente importante,Fácil de deducir,
21,Conocer las fortalezas y debilidades de cada miembro del equipo.,Avanzados,Importante,Moderadamente deducible,
22,Entre compañeros de equipo desarrollar estilos de programación similares.,Avanzados,Muy importante,Moderadamente deducible,
23,Participar en la mayor cantidad de competencias que se pueda.,Ambos,Extremadamente importante,Fácil de deducir,
24,Participar en campamentos de programación.,Avanzados,Importante,Moderadamente deducible,
25,Realizar sesiones de entrenamiento entre varios equipos.,Iniciales,Importante,Moderadamente deducible,
26,Entrenar con competencias/problemas que cuenten con editorial y acceso a códigos aceptados para su posterior lectura.,Iniciales,Muy importante,Moderadamente deducible,
27,"Para mejorar la dinámica de resolución de problemas en equipo, seleccionar problemas difíciles y resolverlos en grupos de 2 o 3 personas, practicando el pensamiento en voz alta, el intercambio de ideas, la creatividad, la discusión productiva, y la refutación de ideas erróneas.",Avanzados,Muy importante,Moderadamente deducible,
28,"Dividir los temas básicos entre los miembros del equipo, comprometiéndose a aprenderlos individualmente para conseguir un mayor alcance colectivo.",Avanzados,Extremadamente importante,Difícil de deducir,
29,Asegurar que con el tiempo cada miembro del equipo domine todos los temas básicos y luego continúe especializándose en temas más avanzados.,Avanzados,Extremadamente importante,Difícil de deducir,
30,"En el equipo contar con al menos 2 expertos en cada área, para evitar una sobrecarga de trabajo y tener el respaldo necesario en momentos críticos.",Avanzados,Muy importante,Difícil de deducir,
Sección D,Antes de la Competencia: Prácticas enfocadas en la preparación estratégica y organizativa antes de un evento competitivo.,,,,
31,"Mantener un listado con conceptos, fórmulas, constantes y teoremas para consultas rápidas.",Avanzados,Muy importante,Moderadamente deducible,
32,"Mantener un listado con hechos relevantes, recordatorios, errores comunes a evitar, buenas prácticas y estrategias.",Ambos,Importante,Moderadamente deducible,
33,Mantener el team notebook con implementaciones cortas y rápidas de algoritmos clásicos o códigos difíciles de memorizar.,Avanzados,Importante,Moderadamente deducible,
34,"En el team notebook, es aceptable incluir algoritmos a modo de caja negra, conociendo solo su propósito y su complejidad espacio-temporal.",Avanzados,Importante,Moderadamente deducible,
35,Priorizar la calidad antes que la cantidad al agregar contenido al team notebook.,Ambos,Importante,Moderadamente deducible,
36,Llevar un diccionario de bolsillo Inglés-Español a las competencias,Ambos,Extremadamente importante,Fácil de deducir,
37,"Establecer de antemano un orden fijo y la porción de problemas que cada integrante del equipo leerá, mantener ese plan en todas las ocasiones.",Avanzados,Extremadamente importante,Moderadamente deducible,
38,"Designar como líder de equipo a la persona con mayor experiencia y criterio, quien tomará las decisiones finales con el respaldo del equipo.",Avanzados,Importante,Moderadamente deducible,
Sección E,Durante la Competencia (Simulación): Prácticas aplicables durante simulaciones para replicar las condiciones de una competencia real.,,,,
39,Simular competencias oficiales en equipo procurando replicar las condiciones de competencias oficiales.,Avanzados,Extremadamente importante,Moderadamente deducible,
40,"Tener entrenamientos largos (5 horas), para incrementar la resistencia.",Avanzados,Muy importante,Moderadamente deducible,
41,"Evitar entrenamientos cortos (menores 5 horas), pero realizarlos si es que la alternativa sería no entrenar.",Avanzados,Poco importante,Moderadamente deducible,
42,"Probar diferentes estrategias, afinarlas y ajustarlas según cómo responda el equipo.",Avanzados,Muy importante,Moderadamente deducible,
43,Hacer la prueba con programación en pares.,Avanzados,Importante,Moderadamente deducible,
44,"Realizar prácticas de lectura de problemas en equipo al simular competencias: al inicio leer todos los problemas sin resolver ninguno, discutir las dificultades de cada uno, comparar las predicciones con el scoreboard y luego continuar con la simulación.",Avanzados,Importante,Difícil de deducir,
45,"En simulaciones, registrar el estado de la competencia cada 30 minutos (para competencias de 5 horas) para tener conciencia del comportamiento del equipo. Este registro debe incluir la cantidad de problemas leídos, resueltos e intentados, junto con un resumen de lo sucedido en los últimos 30 minutos.",Avanzados,Importante,Moderadamente deducible,
46,"Durante simulaciones de competencias, copiar los algoritmos del team notebook a mano, tal como se hace en competencias oficiales.",Ambos,Muy importante,Fácil de deducir,
Sección F,Durante la Competencia (Competencia Real): Prácticas aplicadas durante el desarrollo de una competencia oficial.,,,,
47,Al inicio de la competencia identificar el problema fácil e iniciar su resolución lo más antes posible.,Ambos,Extremadamente importante,Fácil de deducir,
